"CU_NUMBER","CYCLE_DATE","JOIN_NUMBER","CU_NAME","GrantId","DateAwarded","Amount","Grantor","OtherGrantor","GrantType"
132,9/30/2021 0:00:00,69,"MOUNT VERNON NY POSTAL EMPLOYEES",7817,4/27/2020 0:00:00,10000,"NCUA Technical Assistance Program - Community Development Revolving Loan Fund (CDRLF)","","Program Grant"
168,9/30/2021 0:00:00,88,"NORTHERN INDIANA",8418,5/1/2020 0:00:00,5000,"Other","Indiana Credit Union League","Program Grant"
168,9/30/2021 0:00:00,88,"NORTHERN INDIANA",8419,4/1/2020 0:00:00,5000,"Other","Alloya Corporate CU","Program Grant"
174,9/30/2021 0:00:00,91,"LOUISIANA",3080,10/26/2012 0:00:00,7500,"Other","NCUA OSCUI Office Small Credit Union Initiatives","Program Grant"
174,9/30/2021 0:00:00,91,"LOUISIANA",3748,3/13/2014 0:00:00,5000,"NCUA Technical Assistance Program - Community Development Revolving Loan Fund (CDRLF)","","Program Grant"
174,9/30/2021 0:00:00,91,"LOUISIANA",8751,7/7/2020 0:00:00,7500,"Other","Incumbent Worker Training Program","Program Grant"
187,9/30/2021 0:00:00,100,"FLORIDA A & M UNIVERSITY",8546,10/1/2020 0:00:00,17500,"Other","Inclusiv Resilience Fund","Capital- unrestricted donation to equity"
187,9/30/2021 0:00:00,100,"FLORIDA A & M UNIVERSITY",8787,11/17/2020 0:00:00,1000000,"Other","Leon County Board of Commissioners","Program Grant"
187,9/30/2021 0:00:00,100,"FLORIDA A & M UNIVERSITY",9188,6/30/2021 4:00:00 AM,5000,"Other","Inclusiv Resilience Fund","Capital- unrestricted donation to equity"
187,9/30/2021 0:00:00,100,"FLORIDA A & M UNIVERSITY",9402,6/15/2021 4:00:00 AM,1826265,"Community Development Financial Institution (CDFI)","","Program Grant"
195,9/30/2021 0:00:00,104,"NORTHWEST ARKANSAS",4983,4/2/2015 0:00:00,2247,"Other","NCUA OSCUI","Program Grant"
195,9/30/2021 0:00:00,104,"NORTHWEST ARKANSAS",5147,4/15/2016 0:00:00,2000,"Other","Cornerstone Credit Union Foundation","Program Grant"
195,9/30/2021 0:00:00,104,"NORTHWEST ARKANSAS",5445,7/28/2016 0:00:00,3000,"Other","NCUA-OSCUI","Program Grant"
195,9/30/2021 0:00:00,104,"NORTHWEST ARKANSAS",5703,3/23/2017 0:00:00,1500,"Other","Cornerstone Credit Union Foundation","Program Grant"
195,9/30/2021 0:00:00,104,"NORTHWEST ARKANSAS",5973,8/30/2017 0:00:00,7500,"Other","NCUA OSCUI","Program Grant"
195,9/30/2021 0:00:00,104,"NORTHWEST ARKANSAS",6512,5/22/2018 0:00:00,3000,"Other","Cornerstone Credit Union Foundation","Program Grant"
196,9/30/2021 0:00:00,105,"GTE",4264,9/24/2013 0:00:00,1347000,"Community Development Financial Institution (CDFI)","","Subsidy for Risk or ALL"
196,9/30/2021 0:00:00,105,"GTE",5066,9/10/2015 0:00:00,1750000,"Community Development Financial Institution (CDFI)","","Program Grant"
196,9/30/2021 0:00:00,105,"GTE",6414,9/19/2017 0:00:00,776500,"Community Development Financial Institution (CDFI)","","Program Grant"
196,9/30/2021 0:00:00,105,"GTE",6944,11/1/2018 0:00:00,14350,"Other","NCUA","Program Grant"
196,9/30/2021 0:00:00,105,"GTE",7558,12/17/2019 0:00:00,525000,"Community Development Financial Institution (CDFI)","","Program Grant"
196,9/30/2021 0:00:00,105,"GTE",8475,9/24/2020 0:00:00,500000,"Community Development Financial Institution (CDFI)","","Program Grant"
196,9/30/2021 0:00:00,105,"GTE",9180,6/1/2021 4:00:00 AM,1826265,"Community Development Financial Institution (CDFI)","","Program Grant"
224,9/30/2021 0:00:00,119,"MAGNOLIA",7505,11/19/2019 0:00:00,714000,"Community Development Financial Institution (CDFI)","","Program Grant"
224,9/30/2021 0:00:00,119,"MAGNOLIA",8943,6/15/2021 5:00:00 AM,1826265,"Community Development Financial Institution (CDFI)","","Program Grant"
224,9/30/2021 0:00:00,119,"MAGNOLIA",9385,8/30/2021 5:00:00 AM,50000,"NCUA Technical Assistance Program - Community Development Revolving Loan Fund (CDRLF)","","Program Grant"
234,9/30/2021 0:00:00,125,"PITTSBURGH FIREFIGHTER'S",4430,6/30/2015 0:00:00,3000,"Other","office of small C.U. initatives","Program Grant"
242,9/30/2021 0:00:00,129,"GULF COAST COMMUNITY",3524,9/24/2013 0:00:00,1003730,"Community Development Financial Institution (CDFI)","","Program Grant"
242,9/30/2021 0:00:00,129,"GULF COAST COMMUNITY",4831,9/10/2015 0:00:00,2000000,"Community Development Financial Institution (CDFI)","","Program Grant"
262,9/30/2021 0:00:00,139,"EP",8316,6/15/2020 0:00:00,7500,"Other","NCUA - CDRLF","Program Grant"
288,9/30/2021 0:00:00,155,"FARGO VA",4420,4/2/2015 0:00:00,3000,"Other","NCUA-OSCUI","Program Grant"
288,9/30/2021 0:00:00,155,"FARGO VA",7835,8/6/2020 0:00:00,3460,"Other","CDRLF - URGENT NEEDS GRANT","Program Grant"
339,9/30/2021 0:00:00,182,"MUNCIE",8790,5/12/2020 0:00:00,3500,"Other","Indiana Credit Union League","Program Grant"
352,9/30/2021 0:00:00,188,"TAMPA BAY",6927,10/29/2018 0:00:00,20000,"National Credit Union Foundation","","Program Grant"
352,9/30/2021 0:00:00,188,"TAMPA BAY",7415,9/30/2019 0:00:00,5000,"National Credit Union Foundation","","Program Grant"
352,9/30/2021 0:00:00,188,"TAMPA BAY",7416,9/30/2019 0:00:00,56042,"National Credit Union Foundation","","Program Grant"
352,9/30/2021 0:00:00,188,"TAMPA BAY",9067,6/8/2021 5:00:00 AM,1826265,"Community Development Financial Institution (CDFI)","","Program Grant"
361,9/30/2021 0:00:00,193,"SPERO FINANCIAL",6054,8/30/2017 0:00:00,7500,"Community Development Financial Institution (CDFI)","","Program Grant"
370,9/30/2021 0:00:00,201,"PPG & ASSOCIATES",3427,9/5/2013 0:00:00,2700,"Other","Pa Credit Union Foundation","Program Grant"
373,9/30/2021 0:00:00,203,"NEW ALLIANCE",6945,10/31/2018 0:00:00,10000,"National Credit Union Foundation","","Program Grant"
373,9/30/2021 0:00:00,203,"NEW ALLIANCE",7928,6/29/2020 0:00:00,1000,"Other","Association of Credit Union Leagues","Program Grant"
373,9/30/2021 0:00:00,203,"NEW ALLIANCE",8352,5/6/2020 0:00:00,10000,"National Credit Union Foundation","","Program Grant"
373,9/30/2021 0:00:00,203,"NEW ALLIANCE",8896,12/31/2020 0:00:00,10000,"National Credit Union Foundation","","Program Grant"
389,9/30/2021 0:00:00,214,"CINCINNATI OHIO POLICE",3177,3/1/2013 5:00:00 AM,20000,"Other","Ohio Credit Union League","Program Grant"
389,9/30/2021 0:00:00,214,"CINCINNATI OHIO POLICE",5177,5/19/2016 0:00:00,1495,"Other","Ohio Credit Union League","Program Grant"
389,9/30/2021 0:00:00,214,"CINCINNATI OHIO POLICE",5178,4/21/2016 0:00:00,1407,"Other","Ohio Credit  Union League","Program Grant"
389,9/30/2021 0:00:00,214,"CINCINNATI OHIO POLICE",7080,4/25/2019 0:00:00,1095,"Other","Ohio Credit Union League","Program Grant"
390,9/30/2021 0:00:00,215,"ELLIOTT COMMUNITY",4318,3/9/2015 0:00:00,10000,"Other","Pennsylvania Credit Union Foundation","Program Grant"
404,9/30/2021 0:00:00,222,"GREATER NEW ORLEANS",3152,10/23/2012 0:00:00,490,"Other","LA WORKFORCE COMMISION","Not Collected"
404,9/30/2021 0:00:00,222,"GREATER NEW ORLEANS",3153,9/14/2012 0:00:00,2875,"Other","LA WORKFORCE COMMISSION","Not Collected"
404,9/30/2021 0:00:00,222,"GREATER NEW ORLEANS",3154,7/31/2012 0:00:00,5625,"Other","LA WORKFORCE COMMISSION","Not Collected"
404,9/30/2021 0:00:00,222,"GREATER NEW ORLEANS",3155,7/27/2012 0:00:00,490,"Other","LA WORKFORCE COMMISSION","Not Collected"
404,9/30/2021 0:00:00,222,"GREATER NEW ORLEANS",4368,2/20/2015 0:00:00,600,"Other","LA WORKFORCE COMMISSION","Program Grant"
404,9/30/2021 0:00:00,222,"GREATER NEW ORLEANS",4957,10/5/2015 0:00:00,1375,"Other","Credit Union Leagues","Program Grant"
404,9/30/2021 0:00:00,222,"GREATER NEW ORLEANS",5201,6/30/2016 0:00:00,400,"Other","Credit Union Leagues","Program Grant"
404,9/30/2021 0:00:00,222,"GREATER NEW ORLEANS",5306,7/26/2016 0:00:00,7500,"Other","NCUA","Program Grant"
404,9/30/2021 0:00:00,222,"GREATER NEW ORLEANS",6091,7/10/2017 0:00:00,1000,"Other","Credit Union Leagues","Program Grant"
404,9/30/2021 0:00:00,222,"GREATER NEW ORLEANS",6285,11/27/2017 0:00:00,25000,"National Credit Union Foundation","","Program Grant"
404,9/30/2021 0:00:00,222,"GREATER NEW ORLEANS",6286,3/20/2017 0:00:00,5879,"NCUA Technical Assistance Program - Community Development Revolving Loan Fund (CDRLF)","","Program Grant"
404,9/30/2021 0:00:00,222,"GREATER NEW ORLEANS",7738,11/19/2019 0:00:00,799000,"Community Development Financial Institution (CDFI)","","Program Grant"
422,9/30/2021 0:00:00,229,"PITTSBURGH",5,10/1/2008 0:00:00,1500,"NCUA Technical Assistance Program - Community Development Revolving Loan Fund (CDRLF)","","Not Collected"
422,9/30/2021 0:00:00,229,"PITTSBURGH",1730,12/13/2011 0:00:00,5000,"NCUA Technical Assistance Program - Community Development Revolving Loan Fund (CDRLF)","","Not Collected"
422,9/30/2021 0:00:00,229,"PITTSBURGH",3068,7/13/2012 0:00:00,7500,"NCUA Technical Assistance Program - Community Development Revolving Loan Fund (CDRLF)","","Not Collected"
430,9/30/2021 0:00:00,232,"DEEPWATER INDUSTRIES",6231,8/30/2017 0:00:00,10000,"National Credit Union Foundation","","Program Grant"
464,9/30/2021 0:00:00,246,"EAGLE ONE",4225,8/1/2014 0:00:00,2500,"NCUA Technical Assistance Program - Community Development Revolving Loan Fund (CDRLF)","","Program Grant"
464,9/30/2021 0:00:00,246,"EAGLE ONE",5318,9/12/2016 0:00:00,7500,"NCUA Technical Assistance Program - Community Development Revolving Loan Fund (CDRLF)","","Program Grant"
475,9/30/2021 0:00:00,253,"INTEGRITY",3397,7/23/2013 0:00:00,5000,"Other","OHIO CREDIT UNION LEAGUE FOUNDATION","Pass Through"
475,9/30/2021 0:00:00,253,"INTEGRITY",4150,10/17/2014 0:00:00,1590,"Other","OHIO CREDIT UNION FOUNDATION","Pass Through"
475,9/30/2021 0:00:00,253,"INTEGRITY",4151,10/14/2014 0:00:00,2500,"Other","Cuna","Pass Through"
475,9/30/2021 0:00:00,253,"INTEGRITY",4421,4/3/2015 0:00:00,8336,"Other","OHIO CREDIT UNION FOUNDATION","Program Grant"
475,9/30/2021 0:00:00,253,"INTEGRITY",7239,6/28/2019 0:00:00,5000,"Other","OHIO CREDIT UNION FOUNDATION","Pass Through"
475,9/30/2021 0:00:00,253,"INTEGRITY",7902,5/18/2020 0:00:00,5000,"Other","OHIO CREDIT UNION FOUNDATION","Pass Through"
479,9/30/2021 0:00:00,256,"PARKVIEW COMMUNITY",3743,8/27/2013 0:00:00,5500,"NCUA Technical Assistance Program - Community Development Revolving Loan Fund (CDRLF)","","Program Grant"
479,9/30/2021 0:00:00,256,"PARKVIEW COMMUNITY",4211,8/1/2014 0:00:00,5500,"NCUA Technical Assistance Program - Community Development Revolving Loan Fund (CDRLF)","","Program Grant"
479,9/30/2021 0:00:00,256,"PARKVIEW COMMUNITY",4212,3/10/2014 0:00:00,7500,"NCUA Technical Assistance Program - Community Development Revolving Loan Fund (CDRLF)","","Program Grant"
479,9/30/2021 0:00:00,256,"PARKVIEW COMMUNITY",8174,5/1/2020 0:00:00,10000,"Other","SBA EIDG","Program Grant"
479,9/30/2021 0:00:00,256,"PARKVIEW COMMUNITY",8719,11/27/2020 0:00:00,10000,"NCUA Technical Assistance Program - Community Development Revolving Loan Fund (CDRLF)","","Program Grant"
517,9/30/2021 0:00:00,274,"SEI",7829,4/15/2020 0:00:00,10000,"Other","NCUA COVID-19 RELIEF","Program Grant"
613,9/30/2021 0:00:00,311,"EMPIRE ONE",4682,4/30/2015 0:00:00,750,"Other","New York State Credit Union Foundation","Program Grant"
613,9/30/2021 0:00:00,311,"EMPIRE ONE",4683,4/28/2015 0:00:00,500,"Other","Cuna","Program Grant"
616,9/30/2021 0:00:00,314,"NEW HORIZON",4666,8/3/2015 0:00:00,10000,"Other","OSCUI","Program Grant"
616,9/30/2021 0:00:00,314,"NEW HORIZON",5943,9/19/2017 0:00:00,776500,"Community Development Financial Institution (CDFI)","","Subsidy for Risk or ALL"
616,9/30/2021 0:00:00,314,"NEW HORIZON",6196,11/27/2017 0:00:00,25000,"National Credit Union Foundation","","Program Grant"
616,9/30/2021 0:00:00,314,"NEW HORIZON",7486,11/19/2019 0:00:00,565000,"Community Development Financial Institution (CDFI)","","Subsidy for Risk or ALL"
616,9/30/2021 0:00:00,314,"NEW HORIZON",8940,6/15/2021 4:00:00 AM,1200000,"Community Development Financial Institution (CDFI)","","Subsidy for Risk or ALL"
644,9/30/2021 0:00:00,330,"TRAILHEAD",4673,7/28/2015 0:00:00,10000,"National Credit Union Foundation","","Pass Through"
644,9/30/2021 0:00:00,330,"TRAILHEAD",5376,7/25/2016 0:00:00,7000,"National Credit Union Foundation","","Pass Through"
644,9/30/2021 0:00:00,330,"TRAILHEAD",5882,9/27/2016 0:00:00,811000,"Community Development Financial Institution (CDFI)","","Program Grant"
644,9/30/2021 0:00:00,330,"TRAILHEAD",6774,10/29/2018 0:00:00,8000,"Community Development Financial Institution (CDFI)","","Pass Through"
644,9/30/2021 0:00:00,330,"TRAILHEAD",7049,9/27/2016 0:00:00,150000,"Community Development Financial Institution (CDFI)","","Program Grant"
644,9/30/2021 0:00:00,330,"TRAILHEAD",7520,9/27/2016 0:00:00,156666,"Community Development Financial Institution (CDFI)","","Program Grant"
644,9/30/2021 0:00:00,330,"TRAILHEAD",7730,4/8/2020 0:00:00,7500,"NCUA Technical Assistance Program - Community Development Revolving Loan Fund (CDRLF)","","Pass Through"
644,9/30/2021 0:00:00,330,"TRAILHEAD",9055,6/15/2021 7:00:00 AM,1826265,"Community Development Financial Institution (CDFI)","","Pass Through"
648,9/30/2021 0:00:00,334,"HOWARD UNIVERSITY EMPLOYEES",8900,6/1/2020 0:00:00,2750,"NCUA Technical Assistance Program - Community Development Revolving Loan Fund (CDRLF)","","Program Grant"
665,9/30/2021 0:00:00,342,"PENINSULA COMMUNITY",3327,5/3/2013 0:00:00,10700,"Other","Northwest Credit Union Foundation","Program Grant"
665,9/30/2021 0:00:00,342,"PENINSULA COMMUNITY",5048,3/31/2016 0:00:00,2000000,"Community Development Financial Institution (CDFI)","","Capital- unrestricted donation to equity"
665,9/30/2021 0:00:00,342,"PENINSULA COMMUNITY",5228,3/9/2016 0:00:00,10000,"Other","Express Advantage CU/Northwest Area Foundation","Program Grant"
665,9/30/2021 0:00:00,342,"PENINSULA COMMUNITY",6868,12/26/2018 0:00:00,20000,"Other","Northwest Credit Union Foundation","Program Grant"
665,9/30/2021 0:00:00,342,"PENINSULA COMMUNITY",7221,8/29/2019 0:00:00,5000,"Other","NCUA CDRLF","Program Grant"
665,9/30/2021 0:00:00,342,"PENINSULA COMMUNITY",7447,12/26/2019 0:00:00,77000,"Other","Northwest Credit Union Foundation","Program Grant"
665,9/30/2021 0:00:00,342,"PENINSULA COMMUNITY",7770,5/5/2020 0:00:00,10000,"Other","Small Business Administration EIDL Grant'","Program Grant"
665,9/30/2021 0:00:00,342,"PENINSULA COMMUNITY",8287,10/8/2020 0:00:00,900000,"Community Development Financial Institution (CDFI)","","Capital- unrestricted donation to equity"
665,9/30/2021 0:00:00,342,"PENINSULA COMMUNITY",8535,11/12/2020 0:00:00,5000,"Other","NCUA -CDRLF","Program Grant"
665,9/30/2021 0:00:00,342,"PENINSULA COMMUNITY",8545,1/4/2021 0:00:00,1125,"Other","NWCUF - PSELP","Program Grant"
665,9/30/2021 0:00:00,342,"PENINSULA COMMUNITY",8818,3/22/2021 0:00:00,5000,"Other","Washington Economic Development Association","Program Grant"
665,9/30/2021 0:00:00,342,"PENINSULA COMMUNITY",8921,6/15/2021 0:00:00,1826265,"Community Development Financial Institution (CDFI)","","Capital- unrestricted donation to equity"
798,9/30/2021 0:00:00,393,"TRANSIT AUTHORITY DIVISION B",8582,12/21/2020 5:00:00 AM,6168,"NCUA Technical Assistance Program - Community Development Revolving Loan Fund (CDRLF)","","Program Grant"
817,9/30/2021 0:00:00,401,"ROCHESTER & MONROE CO EMP",8877,1/7/2021 5:00:00 AM,3000,"Other","NYS Credit Union League","Program Grant"
818,9/30/2021 0:00:00,402,"GOWANDA AREA",8061,4/6/2020 0:00:00,5000,"Other","Alloya Corporate FCU","Program Grant"
831,9/30/2021 0:00:00,408,"FIRST COAST",5503,8/3/2016 0:00:00,10000,"Other","NCUA OSCU","Program Grant"
831,9/30/2021 0:00:00,408,"FIRST COAST",5958,8/30/2017 0:00:00,7500,"Other","NCUA","Program Grant"
831,9/30/2021 0:00:00,408,"FIRST COAST",7839,5/12/2020 0:00:00,10000,"Other","NCUA Covid 19","Program Grant"
838,9/30/2021 0:00:00,413,"APS",594,7/30/2010 0:00:00,5000,"NCUA Technical Assistance Program - Community Development Revolving Loan Fund (CDRLF)","","Not Collected"
841,9/30/2021 0:00:00,416,"ALLEGHENY CENTRAL",2018,8/15/2012 0:00:00,13877,"NCUA Technical Assistance Program - Community Development Revolving Loan Fund (CDRLF)","","Not Collected"
841,9/30/2021 0:00:00,416,"ALLEGHENY CENTRAL",2019,5/1/2012 4:00:00 AM,3000,"Other","No idea","Not Collected"
851,9/30/2021 0:00:00,421,"CHELSEA EMPLOYEES",3994,8/1/2014 0:00:00,7500,"NCUA Technical Assistance Program - Community Development Revolving Loan Fund (CDRLF)","","Program Grant"
856,9/30/2021 0:00:00,425,"MOUNTAIN STAR",5427,7/25/2016 0:00:00,15000,"Other","The Office of Small Credit Union Initiatives NCUA","Program Grant"
856,9/30/2021 0:00:00,425,"MOUNTAIN STAR",5614,10/19/2016 0:00:00,2000,"Other","Cornerstone Credit Union League","Program Grant"
856,9/30/2021 0:00:00,425,"MOUNTAIN STAR",5615,10/10/2016 0:00:00,7000,"Other","Cornerstone Credit Union Foundation","Program Grant"
856,9/30/2021 0:00:00,425,"MOUNTAIN STAR",6506,5/24/2018 0:00:00,916905,"Community Development Financial Institution (CDFI)","","Capital- unrestricted donation to equity"
856,9/30/2021 0:00:00,425,"MOUNTAIN STAR",6507,5/22/2018 0:00:00,1750,"Other","Cornerstone Credit Union Foundation","Program Grant"
856,9/30/2021 0:00:00,425,"MOUNTAIN STAR",7510,7/19/2019 0:00:00,7875,"National Federation of Community Development Credit Unions","","Program Grant"
884,9/30/2021 0:00:00,441,"ATT-WYO CORRECTIONAL EMPLOYEES",8272,8/21/2020 0:00:00,3000,"Other","NYCUA","Capital- unrestricted donation to equity"
900,9/30/2021 0:00:00,451,"AMBRIDGE AREA",13,10/15/2008 4:00:00 AM,3000,"Other","mmm","Not Collected"
909,9/30/2021 0:00:00,455,"PRR SOUTH FORK",7895,6/25/2020 4:00:00 AM,1000,"State League Foundation","","Program Grant"
926,9/30/2021 0:00:00,465,"RIVER CITY",7365,8/29/2019 0:00:00,5000,"NCUA Technical Assistance Program - Community Development Revolving Loan Fund (CDRLF)","","Program Grant"
926,9/30/2021 0:00:00,465,"RIVER CITY",8470,4/14/2020 0:00:00,5000,"Other","Association of Credit Union Leagues","Program Grant"
926,9/30/2021 0:00:00,465,"RIVER CITY",8471,3/31/2020 0:00:00,3500,"Community Development Financial Institution (CDFI)","","Program Grant"
926,9/30/2021 0:00:00,465,"RIVER CITY",8723,12/23/2020 0:00:00,3500,"Other","Cornerstone Credit Union Foundation","Program Grant"
926,9/30/2021 0:00:00,465,"RIVER CITY",8724,12/9/2020 0:00:00,4480,"Other","Cornerstone Credit Union Foundation","Program Grant"
926,9/30/2021 0:00:00,465,"RIVER CITY",9142,7/13/2021 5:00:00 AM,1826265,"Community Development Financial Institution (CDFI)","","Program Grant"
926,9/30/2021 0:00:00,465,"RIVER CITY",9143,5/5/2021 5:00:00 AM,3500,"Other","Cornerstone Credit Union Foundation","Program Grant"
926,9/30/2021 0:00:00,465,"RIVER CITY",9144,5/3/2021 5:00:00 AM,3500,"Other","Cornerstone Credit Union Foundation","Program Grant"
946,9/30/2021 0:00:00,475,"MUSKOGEE",5197,4/15/2016 0:00:00,2000,"Other","Cornerstone Credit Union Foundation","Pass Through"
946,9/30/2021 0:00:00,475,"MUSKOGEE",5697,3/23/2017 0:00:00,1500,"Other","Cornerstone Credit Union Foundation","Pass Through"
946,9/30/2021 0:00:00,475,"MUSKOGEE",5892,4/25/2017 0:00:00,1500,"Other","Cornerstone Credit Union Foundation","Pass Through"
946,9/30/2021 0:00:00,475,"MUSKOGEE",6888,11/21/2018 0:00:00,3000,"Other","Conerstone Credit Union Foundation","Pass Through"
946,9/30/2021 0:00:00,475,"MUSKOGEE",7306,10/4/2019 0:00:00,3200,"Other","Cornerstone Credit Union Foundation","Pass Through"
946,9/30/2021 0:00:00,475,"MUSKOGEE",8200,6/30/2020 0:00:00,3500,"Other","Cornerstone Credit Union Foundation","Pass Through"
946,9/30/2021 0:00:00,475,"MUSKOGEE",8989,4/29/2021 5:00:00 AM,3500,"Other","Cornerstone Credit Union Foundation","Pass Through"
948,9/30/2021 0:00:00,476,"NUSENDA",7187,9/30/2018 0:00:00,250000,"Other","US Small Business Association","Program Grant"
948,9/30/2021 0:00:00,476,"NUSENDA",8505,9/21/2020 0:00:00,250000,"Other","US Small Business Association","Program Grant"
